month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,15040.955862683906,2744.786667409719,9.968782880071332,5.959273294694605,120.14422648238966,Snow,Stressed
February,14799.138468922487,2750.4978545716344,9.824082073434125,6.062371010319175,119.16894648428126,Clear,Happy
March,15014.200224466891,2742.7465117845118,10.013144781144781,5.965858585858586,118.09719416386083,Rain,Neutral
April,14871.65198135198,2756.801578088578,9.970365967365968,5.947365967365967,119.73030303030303,Snow,Neutral
May,15106.325776467922,2752.141514395829,10.028648832464295,6.0075719791430515,118.99705282248924,Clear,Stressed
June,14869.48485549133,2763.661949132948,9.812668208092486,5.923352601156069,119.77341040462427,Rain,Neutral
July,14765.715036563071,2748.818274680073,10.055415904936014,6.03622029250457,119.86197440585009,Clear,Stressed
August,14952.425439598082,2741.299209865266,10.043267869376571,5.968737154601507,119.07810002283627,Fog,Tired
September,15097.370013755159,2746.672941311325,10.195598349381017,5.9317973406694176,119.4527739569005,Fog,Tired
October,15046.48230490018,2749.3730898366607,9.88766787658802,5.939473684210527,119.03697822141561,Snow,Happy
November,14908.531440638199,2740.5536884091975,9.864171750351947,6.012224307836696,119.75058657907086,Snow,Happy
December,15142.644925883695,2747.493591790194,10.000189281641962,6.006681870011402,118.94800456100342,Rain,Happy
