month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,14862.0273556231,2764.5459387421092,10.09148000935235,6.048678980593874,118.72854804769699,Snow,Stressed
February,14924.411321671525,2763.0243124392614,9.940046161321673,5.907774538386784,120.15767735665695,Fog,Tired
March,15154.569189431259,2726.389003582624,10.086079265562024,6.074832064487237,119.18607254814151,Fog,Neutral
April,15095.091567390797,2766.3622307871997,10.00996028965195,5.954776921280075,118.65942536790469,Fog,Tired
May,15131.256750675067,2742.054617461746,9.997106210621062,5.958438343834383,119.55625562556256,Snow,Happy
June,14866.524804777217,2752.679689940285,10.036600826825907,6.019751952227836,119.64813964170877,Fog,Tired
July,14970.123626373626,2758.485347985348,9.994592490842491,6.02554945054945,119.76671245421245,Rain,Neutral
August,15121.07777276826,2748.7166749323715,10.070369702434627,5.987173128944995,119.8392696122633,Rain,Neutral
September,14949.161442375678,2743.4994107942493,9.950355880273392,5.987367428706104,120.4355408908791,Clear,Neutral
October,15049.65718799368,2743.392839088242,10.010595802301962,6.066914917625818,119.42812006319116,Clear,Happy
November,15029.626313385108,2720.581464138876,10.154431247144815,5.956007309273641,119.55915943353129,Fog,Neutral
December,15197.070780800708,2752.790745410308,10.066374695863747,6.000862641008626,118.73169652731697,Snow,Neutral
