month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,15133.005582849486,2750.8384836980795,9.947887449754354,6.02731129968736,120.09267530147388,Snow,Tired
February,14840.093636583595,2755.2291265424633,10.101742075973869,6.111710621824341,119.97725623034115,Snow,Happy
March,15057.5955363243,2768.108162149852,10.019760874516054,5.9709633340924615,120.31564563880664,Snow,Happy
April,15002.931252932894,2757.9690520882214,9.995201783200375,6.009971844204599,120.61027686532144,Clear,Stressed
May,15064.109154929578,2768.450685446009,10.015422535211266,6.003544600938967,119.54154929577464,Rain,Happy
June,14934.4545869466,2746.163678685532,9.977501141031492,5.953970789593793,119.87950707439525,Rain,Stressed
July,15122.492419099344,2738.917795881421,9.940332654446708,5.994252093233763,119.73229237384024,Snow,Happy
August,15010.522518485324,2754.8903540219585,10.024391664799463,5.969751288371051,118.9558592874748,Snow,Happy
September,15188.301962638921,2747.1948995034286,9.865651454244501,5.955095767320879,120.01560652636557,Clear,Neutral
October,14862.007673211465,2756.1125344166103,10.175969307154142,6.023470999774317,119.5267433987813,Rain,Happy
November,14923.560868560868,2747.766340956341,9.922584892584894,6.002956802956803,120.34580734580734,Snow,Tired
December,15013.457680250784,2744.1712628750556,9.982982534706673,5.925817286162114,119.89587998208688,Rain,Happy
