month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,14853.396973742769,2760.117171784602,9.965529595015575,5.9635068980863375,118.95149087672452,Fog,Neutral
February,14981.034147498222,2732.3232131847285,10.025731562722315,6.033886649276737,118.79796063552288,Rain,Happy
March,15031.764354616445,2735.676651355076,10.016322921451538,5.906040422599909,119.64331649058337,Rain,Stressed
April,14928.091436528197,2747.541014156417,9.89002320724066,6.090693896495707,118.6421443490369,Rain,Stressed
May,15033.449230082571,2751.5742758312877,10.093550546752956,6.0280517741575546,119.40749832626646,Rain,Tired
June,14867.563632141198,2753.844259173247,10.010041802136554,5.998095680445889,119.12285183464932,Clear,Stressed
July,15060.334235453316,2743.655308976094,10.048522778529545,6.06551646368967,120.21087054578258,Fog,Neutral
August,15097.198705068096,2756.618548783211,9.798350078142443,5.976780531368609,119.6342933690556,Fog,Neutral
September,14915.351864883885,2755.855657987333,9.873539760731878,6.043513957307061,119.12760966455548,Snow,Tired
October,14928.901858567544,2748.47666137806,9.932017225747959,6.126019945602901,119.40797824116048,Snow,Tired
November,15102.805440295067,2750.399582757031,10.050133702166898,5.953457814661133,119.70908252650992,Fog,Neutral
December,15053.356750572082,2765.621688787185,9.8962585812357,5.976247139588101,119.63180778032037,Rain,Neutral
