month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,14929.62065874972,2750.746771230114,9.96986556128165,6.040757338113377,119.38135783105534,Fog,Neutral
February,14907.864646464646,2748.892416666667,10.00385606060606,5.9979545454545455,119.99823232323233,Clear,Stressed
March,15095.873646209386,2743.0015455776174,9.932152527075813,5.949932310469314,119.78068592057761,Clear,Happy
April,15187.593937936012,2752.0787851816212,9.99036083714217,5.982054366129421,119.85253788789993,Clear,Neutral
May,14981.707037282153,2717.3020229428635,9.934118685197442,6.003198764615045,120.17692477388043,Fog,Tired
June,14859.970206631428,2727.607943296492,9.918433445458913,5.995002402691014,120.14824603555982,Clear,Neutral
July,15030.619216294,2751.3732565862297,10.106800974097853,5.91489926942661,119.44520699579367,Rain,Stressed
August,15008.373922902494,2738.2800453514737,10.065804988662132,6.012244897959183,120.08163265306122,Clear,Tired
September,15053.553579895684,2760.1626552868656,10.089393077287813,5.932385016595543,119.11711711711712,Fog,Happy
October,15126.494171981527,2745.8404530459643,9.979887838135035,6.056850670771937,119.02771057840334,Clear,Happy
November,14916.290606200833,2741.6644678389634,10.012561314206387,6.039310504396113,119.7156409069875,Snow,Neutral
December,14889.663408131526,2750.0466918462566,10.004805598755832,6.006109753388136,118.51077538324817,Clear,Happy
