month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,14996.810846854856,2741.6688219604357,10.019122027117136,5.957390531229162,119.67392753945322,Rain,Tired
February,15009.736828837913,2742.0486715402067,9.907043105621376,6.016359969750441,119.78043861860348,Rain,Stressed
March,15194.158506595126,2741.614460093897,9.969785378940308,5.933981667784485,118.88016990833893,Snow,Stressed
April,15183.737951807228,2748.946033364226,9.882263670064875,6.065801668211307,118.08943466172381,Fog,Stressed
May,15016.180855855855,2744.4573265765766,9.918509009009009,6.012995495495495,119.78085585585586,Snow,Tired
June,14946.176511146863,2743.093488853137,9.958506090553895,6.07671799586302,118.43874971270972,Fog,Tired
July,14972.668112303127,2753.9593700068476,9.979942935402875,6.024377995891349,119.31659438484364,Rain,Tired
August,14913.40895791132,2756.0553342336257,10.01182759396804,5.999482331757822,119.30384875084403,Snow,Happy
September,15266.784067085953,2753.0818914511997,9.93072909387375,5.95574190542744,120.03540647565805,Clear,Tired
October,15148.786213111061,2764.0811534129307,10.158720432529849,5.993962604190133,119.13268754223924,Fog,Stressed
November,14788.78525345622,2733.810850230415,9.945207373271888,5.972811059907834,119.82373271889401,Snow,Happy
December,15156.509624197983,2749.7754307974337,10.003721356553621,5.943148487626032,119.47273143904674,Snow,Neutral
